Title,Status,Rating,Date
Are You Here,rated,3.0,
Argo,rated,3.0,
Armed and Dangerous,rated,3.0,
Arsenic and Old Lace,rated,3.0,
Arthur,rated,3.0,
Assassins,rated,3.0,
Atomic Blonde,rated,3.0,
Attack of the Killer Tomatoes,rated,3.0,
Austin Powers in Goldmember,rated,3.0,
Austin Powers: International Man of Mystery,rated,3.0,
B. Monkey,rated,3.0,
Babe,rated,3.0,
Back to the Future Part II,rated,3.0,
Back to the Future Part III,rated,3.0,
Bad Boys,rated,3.0,
Bad Boys for Life,rated,3.0,
Bad Boys II,rated,3.0,
Bad Company,rated,3.0,
Bad Santa,rated,3.0,
Bad Teacher,rated,3.0,
Balls of Fury,rated,3.0,
Barbarella,rated,3.0,
Barbershop,rated,3.0,
Batman,rated,3.0,
Batman Begins,rated,3.0,
Batman: The Movie,rated,3.0,
Battle for Terra,rated,3.0,
Battle Royale,rated,3.0,
Be Kind Rewind,rated,3.0,
Beavers: IMAX,rated,3.0,
Beavis and Butt-head,rated,3.0,
Beavis and Butt-head Do America,rated,3.0,
Bedazzled,rated,3.0,
Beetlejuice,rated,3.0,
Before Midnight,rated,3.0,
Behind Enemy Lines,rated,3.0,
Being John Malkovich,rated,3.0,
Beowulf: Director's Cut,rated,3.0,
Beverly Hills Cop,rated,3.0,
Beverly Hills Ninja,rated,3.0,
Bickford Shmeckler's Cool Ideas,rated,3.0,
Big,rated,3.0,
Big Bear,rated,3.0,
Big Daddy,rated,3.0,
Big Fish,rated,3.0,
Big Trouble in Little China,rated,3.0,
Bill & Ted's Excellent Adventure,rated,3.0,
Billy Madison,rated,3.0,
Bio-Dome,rated,3.0,
Bird on a Wire,rated,3.0,
Black Hawk Down,rated,3.0,
Black Knight,rated,3.0,
Black Sheep,rated,3.0,
Black Sheep,rated,3.0,
Blade,rated,3.0,
Blade Runner,rated,3.0,
Blade Runner: Theatrical and Director's Cut,rated,3.0,
Blade Runner: Theatrical Cut,rated,3.0,
Blade: Trinity,rated,3.0,
Blades of Glory,rated,3.0,
Blitz,rated,3.0,
Blood Diamond,rated,3.0,
Blood Into Wine,rated,3.0,
Blue Chips,rated,3.0,
Blue Crush,rated,3.0,
Blues Brothers 2000,rated,3.0,
Bohemian Rhapsody,rated,3.0,
Boiler Room,rated,3.0,
Bolt,rated,3.0,
Bonnie and Clyde,rated,3.0,
Bottle Rocket,rated,3.0,
Bowfinger,rated,3.0,
Bram Stoker's Dracula,rated,3.0,
Brave,rated,3.0,
Braveheart,rated,3.0,
Brazil,rated,3.0,
Brazil: The "Love Conquers All" Version,rated,3.0,
Bridesmaids,rated,3.0,
Bridget Jones's Diary,rated,3.0,
Bring It On,rated,3.0,
Bringing Down the House,rated,3.0,
Brokeback Mountain,rated,3.0,
Brubaker,rated,3.0,
Bruce Almighty,rated,3.0,
Buffaloed,rated,3.0,
Bulletproof Monk,rated,3.0,
But I'm a Cheerleader,rated,3.0,
Can't Hardly Wait,rated,3.0,
Captain America: The First Avenger,rated,3.0,
Captain Ron,rated,3.0,
Carrie,rated,3.0,
Casino Royale,rated,3.0,
Cast Away,rated,3.0,
Catch Me If You Can,rated,3.0,
Changing Lanes,rated,3.0,
Charlie's Angels,rated,3.0,
Charmed,rated,3.0,
Cheats,rated,3.0,
Cheech & Chong's Up in Smoke,rated,3.0,
Cheers,rated,3.0,
Chicago,rated,3.0,
Chicken Run,rated,3.0,
Child's Play,rated,3.0,
Christine,rated,3.0,
Cinderella Man,rated,3.0,
Cinema Paradiso,rated,3.0,
Citizen Kane,rated,3.0,
Classic Albums: Meat Loaf: Bat Out of Hell,rated,3.0,
Cliffhanger,rated,3.0,
Close Encounters of the Third Kind: 30th Anniversary Ultimate Edition,rated,3.0,
Cloudy with a Chance of Meatballs,rated,3.0,
Cloudy with a Chance of Meatballs 2,rated,3.0,
Clue,rated,3.0,
Clueless,rated,3.0,
Cobra,rated,3.0,
Cockneys vs Zombies,rated,3.0,
Cocktail,rated,3.0,
Code Monkeys,rated,3.0,
Coming to America,rated,3.0,
Commando,rated,3.0,
Conan O'Brien Can't Stop,rated,3.0,
Conan the Barbarian,rated,3.0,
Conan the Destroyer,rated,3.0,
Confessions of a Dangerous Mind,rated,3.0,
Congo,rated,3.0,
Conspiracy Theory,rated,3.0,
Constantine,rated,3.0,
Cool Hand Luke,rated,3.0,
Cool Runnings,rated,3.0,
Cool World,rated,3.0,
Corpse Bride,rated,3.0,
Corvette Summer,rated,3.0,
Couples Retreat,rated,3.0,
Coupling,rated,3.0,
Courage the Cowardly Dog,rated,3.0,
Cowboys & Aliens,rated,3.0,
Coyote Ugly,rated,3.0,
Crazy on the Outside,rated,3.0,
Creed,rated,3.0,
Crocodile Dundee,rated,3.0,
Crouching Tiger Hidden Dragon,rated,3.0,
Croupier,rated,3.0,
Cry-Baby,rated,3.0,
Cuban Fury,rated,3.0,
Dances with Wolves,rated,3.0,
Dangerous Liaisons,rated,3.0,
Dante's Peak,rated,3.0,
Daredevil,rated,3.0,
Darkness Falls,rated,3.0,
Dave,rated,3.0,
Dawn of the Dead,rated,3.0,
Dawn of the Dead,rated,3.0,
Days of Thunder,rated,3.0,
Dazed and Confused,rated,3.0,
Dead Man on Campus,rated,3.0,
Dead Men Don't Wear Plaid,rated,3.0,
Death at a Funeral,rated,3.0,
Death to Smoochy,rated,3.0,
Deep Impact,rated,3.0,
Defiance,rated,3.0,
Deliverance,rated,3.0,
Demolition Man,rated,3.0,
Dennis the Menace,rated,3.0,
Desperado / El Mariachi,rated,3.0,
Destination Wedding,rated,3.0,
Deuce Bigalow: Male Gigolo,rated,3.0,
Dexter's Laboratory,rated,3.0,
Dick Tracy,rated,3.0,
Dickie Roberts: Former Child Star,rated,3.0,
Die Another Day,rated,3.0,
Dirty Dancing,rated,3.0,
DOA: Dead or Alive,rated,3.0,
Doctor Strange,rated,3.0,
Doctor Zhivago,rated,3.0,
Dodgeball: A True Underdog Story,rated,3.0,
Dolores Claiborne,rated,3.0,
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,rated,3.0,
Doomsday,rated,3.0,
Double Jeopardy,rated,3.0,
Down Periscope,rated,3.0,
Dr. Dolittle,rated,3.0,
Dr. Dolittle 2,rated,3.0,
Dr. Seuss' The Lorax,rated,3.0,
Dracula: Dead and Loving It,rated,3.0,
Dragnet,rated,3.0,
Dragonheart,rated,3.0,
Dredd,rated,3.0,
Drinking Buddies,rated,3.0,
Driven,rated,3.0,
Drop Dead Gorgeous,rated,3.0,
Dude Where's My Car?,rated,3.0,
Dumb and Dumber: Unrated,rated,3.0,
Dumbo,rated,3.0,
E.T. the Extra-Terrestrial.....,rated,3.0,
Eagle Eye,rated,3.0,
Earth Girls Are Easy,rated,3.0,
Eastern Promises,rated,3.0,
Easy A,rated,3.0,
Ed Wood,rated,3.0,
Eddie Izzard: Circle,rated,3.0,
Eddie Izzard: Dress to Kill,rated,3.0,
Eddie Izzard: Live From Wembley,rated,3.0,
Edward Scissorhands,rated,3.0,
Emmet Otter's Jug-Band Christmas,rated,3.0,
Employee of the Month,rated,3.0,
Encino Man,rated,3.0,
Ender's Game,rated,3.0,
Enter the Dragon,rated,3.0,
Entrapment,rated,3.0,
Eraser,rated,3.0,
Erik the Viking,rated,3.0,
Erin Brockovich,rated,3.0,
Escape from Alcatraz,rated,3.0,
Escape from L.A.,rated,3.0,
Escape from New York,rated,3.0,
Eternals,rated,3.0,
Event Horizon,rated,3.0,
Ever After: A Cinderella Story,rated,3.0,
Every Which Way But Loose,rated,3.0,
Evil Dead 2: Dead by Dawn,rated,3.0,
Evolution,rated,3.0,
Excalibur,rated,3.0,
Extract,rated,3.0,
Face/Off,rated,3.0,
Fahrenheit 451,rated,3.0,
Fallen,rated,3.0,
Family Guy,rated,3.0,
Fantasia,rated,3.0,
Fantasia 2000,rated,3.0,
Far and Away,rated,3.0,
Fast & Furious,rated,3.0,
Fast & Furious Presents: Hobbs & Shaw,rated,3.0,
Fast Times at Ridgemont High,rated,3.0,
Father of the Bride,rated,3.0,
Father of the Bride 2,rated,3.0,
Festival Express,rated,3.0,
Field of Dreams,rated,3.0,
Fighting with My Family,rated,3.0,
Final Destination,rated,3.0,
Final Destination 2,rated,3.0,
Finding Nemo,rated,3.0,
Firestarter,rated,3.0,
Firewall,rated,3.0,
First Knight,rated,3.0,
First Man,rated,3.0,
Flawless,rated,3.0,
Fletch,rated,3.0,
Flight of the Navigator,rated,3.0,
Flubber,rated,3.0,
Fools Rush In,rated,3.0,
Footloose,rated,3.0,
Formula 51,rated,3.0,
Forrest Gump,rated,3.0,
Frasier,rated,3.0,
Freaky Friday,rated,3.0,
Freddy vs. Jason,rated,3.0,
Free Fire,rated,3.0,
Free Willy,rated,3.0,
Frequency,rated,3.0,
Friday,rated,3.0,
Friday Night Lights,rated,3.0,
Friday the 13th,rated,3.0,
Fright Night,rated,3.0,
From Dusk Till Dawn,rated,3.0,
From Here to Eternity,rated,3.0,
Full of It,rated,3.0,
Future Weapons,rated,3.0,
G-Force,rated,3.0,
G.I. Jane,rated,3.0,
Game Night,rated,3.0,
Gangster No. 1,rated,3.0,
Gangster Squad,rated,3.0,
Get Carter,rated,3.0,
Get Him to the Greek,rated,3.0,
Get On Up,rated,3.0,
Get Smart,rated,3.0,
Ghost,rated,3.0,
Ghost Dog: The Way of the Samurai,rated,3.0,
Ghost Rider,rated,3.0,
Ghostbusters,rated,3.0,
Ghostbusters 2,rated,3.0,
Give 'em Hell Malone,rated,3.0,
Gladiator: Extended Edition,rated,3.0,
Glass,rated,3.0,
Glengarry Glen Ross,rated,3.0,
Godzilla: King of the Monsters,rated,3.0,
Gone with the Wind,rated,3.0,
Gonzo: The Life and Work of Dr. Hunter S. Thompson,rated,3.0,
Good Morning Vietnam,rated,3.0,
Good Will Hunting,rated,3.0,
Gorky Park,rated,3.0,
Gosford Park,rated,3.0,
Gravy,rated,3.0,
Grease,rated,3.0,
Great Balls of Fire!,rated,3.0,
Green Street Hooligans,rated,3.0,
Gremlins 2: The New Batch,rated,3.0,
Grumpier Old Men,rated,3.0,
Guarding Tess,rated,3.0,
Guess Who's Coming to Dinner,rated,3.0,
Guns Girls and Gambling,rated,3.0,
Hackers,rated,3.0,
Half Baked,rated,3.0,
Hancock,rated,3.0,
Hannibal,rated,3.0,
Hansel & Gretel: Witch Hunters,rated,3.0,
Happily,rated,3.0,
Harry Potter and the Sorcerer's Stone,rated,3.0,
Hearts Beat Loud,rated,3.0,
Heathers,rated,3.0,
Hellboy,rated,3.0,
Hellboy II: The Golden Army,rated,3.0,
Hercules,rated,3.0,
Hidalgo,rated,3.0,
High Sierra,rated,3.0,
History of the World: Part 1,rated,3.0,
Hitch,rated,3.0,
Hitman's Wife's Bodyguard,rated,3.0,
Hollywood Homicide,rated,3.0,
Home,rated,3.0,
Home Alone 2: Lost in New York,rated,3.0,
Hostage,rated,3.0,
Hot Shots!,rated,3.0,
Hotel Artemis,rated,3.0,
How High,rated,3.0,
How Stella Got Her Groove Back,rated,3.0,
How to Train Your Dragon: The Hidden World,rated,3.0,
Howard the Duck,rated,3.0,
Hudson Hawk,rated,3.0,
Hustle & Flow,rated,3.0,
I Am Legend,rated,3.0,
I Saw the Light,rated,3.0,
I Robot,rated,3.0,
Ice Age,rated,3.0,
In Bruges,rated,3.0,
In the Electric Mist,rated,3.0,
In the Name of the King: A Dungeon Siege Tale,rated,3.0,
Indecent Proposal,rated,3.0,
Interstellar,rated,3.0,
Interview with the Vampire,rated,3.0,
Invictus,rated,3.0,
Iron Man,rated,3.0,
Iron Man 2,rated,3.0,
It Might Get Loud,rated,3.0,
It's a Mad Mad Mad Mad World,rated,3.0,
It's Complicated,rated,3.0,
Izzy Gets the F*ck Across Town,rated,3.0,
J. Edgar,rated,3.0,
Jack,rated,3.0,
Jack Brooks: Monster Slayer,rated,3.0,
Jack Ryan: Shadow Recruit,rated,3.0,
Jackass Forever,rated,3.0,
Jeff Dunham: Spark of Insanity,rated,3.0,
Jerry Maguire,rated,3.0,
Jersey Girl,rated,3.0,
Joe Dirt,rated,3.0,
Joe Somebody,rated,3.0,
Joe's Apartment,rated,3.0,
John Carter,rated,3.0,
Jonah Hex,rated,3.0,
Josie and the Pussycats,rated,3.0,
Journey to the Center of the Earth,rated,3.0,
Judge Dredd,rated,3.0,
Jungle 2 Jungle,rated,3.0,
Junior,rated,3.0,
Juno,rated,3.0,
Jupiter Ascending,rated,3.0,
Jurassic Park III,rated,3.0,
Jurassic World,rated,3.0,
Just Friends,rated,3.0,
Justice League,rated,3.0,
K-19: The Widowmaker,rated,3.0,
Kajillionaire,rated,3.0,
Kate & Leopold,rated,3.0,
Keeping Up with the Joneses,rated,3.0,
Kill Bill: Vol. 1,rated,3.0,
Kill Bill: Vol. 2,rated,3.0,
Killer Elite,rated,3.0,
Killer Klowns from Outer Space,rated,3.0,
Killers,rated,3.0,
Kindergarten Cop,rated,3.0,
King Arthur,rated,3.0,
King Arthur: Legend of the Sword,rated,3.0,
King Kong,rated,3.0,
King Ralph,rated,3.0,
King Solomon's Mines,rated,3.0,
Kingpin,rated,3.0,
Kingsman: The Golden Circle,rated,3.0,
Kiss the Girls,rated,3.0,
Kong: Skull Island,rated,3.0,
Kung Fu Panda,rated,3.0,
Kung Fu Panda 2,rated,3.0,
Labyrinth,rated,3.0,
Ladybugs,rated,3.0,
Land of the Dead,rated,3.0,
Last Man Standing,rated,3.0,
Last Man Standing,rated,3.0,
Law Abiding Citizen,rated,3.0,
Lawless,rated,3.0,
Lawrence of Arabia,rated,3.0,
Layer Cake,rated,3.0,
Leaving Las Vegas,rated,3.0,
Legally Blonde,rated,3.0,
Legend of the Guardians: The Owls of Ga'Hoole,rated,3.0,
Les Misérables,rated,3.0,
Lethal Weapon 2,rated,3.0,
Lethal Weapon 3,rated,3.0,
Lethal Weapon 4,rated,3.0,
Liar Liar,rated,3.0,
Life After People: The Series,rated,3.0,
Limitless,rated,3.0,
Little Miss Sunshine,rated,3.0,
Little Nicky,rated,3.0,
Live Free or Die Hard,rated,3.0,
Logan Lucky,rated,3.0,
Lois & Clark: The New Adventures of Superman,rated,3.0,
Lolita,rated,3.0,
Lord of War,rated,3.0,
Lucy,rated,3.0,
Léon: The Professional,rated,3.0,
Mad Max 2: The Road Warrior,rated,3.0,
Mad Max: Beyond Thunderdome,rated,3.0,
Major League,rated,3.0,
Major League II,rated,3.0,
Major Payne,rated,3.0,
Malcolm in the Middle,rated,3.0,
Mallrats: 10th Anniversary Extended Edition,rated,3.0,
Mamma Mia!,rated,3.0,
Man with the Screaming Brain,rated,3.0,
Masters of the Universe,rated,3.0,
Matchstick Men,rated,3.0,
Maverick,rated,3.0,
Max Payne,rated,3.0,
Meatballs,rated,3.0,
Meet the Fockers,rated,3.0,
Meet the Parents,rated,3.0,
Memento,rated,3.0,
Men in Black 3,rated,3.0,
Men in Black II,rated,3.0,
Men in Black: International,rated,3.0,
Mercury Rising,rated,3.0,
Message in a Bottle,rated,3.0,
Michael Collins,rated,3.0,
Mike Birbiglia: What I Should Have Said Was Nothing: Tales From My Secret Public Journal,rated,3.0,
Mimic,rated,3.0,
Minions,rated,3.0,
Misery,rated,3.0,
Miss Congeniality,rated,3.0,
Mission: Impossible,rated,3.0,
Moana,rated,3.0,
Molly's Game,rated,3.0,
Money Train,rated,3.0,
Monk,rated,3.0,
Monster's Ball,rated,3.0,
Monsters vs. Aliens,rated,3.0,
Monty Python's Life of Brian,rated,3.0,
Moon,rated,3.0,
Mortal Kombat,rated,3.0,
Mr. Deeds,rated,3.0,
Mr. Magorium's Wonder Emporium,rated,3.0,
Mr. Mom,rated,3.0,
Mrs. Doubtfire,rated,3.0,
Multiplicity,rated,3.0,
Munich,rated,3.0,
Muppet Treasure Island,rated,3.0,
Murder at 1600,rated,3.0,
Murder by Death,rated,3.0,
My Fellow Americans,rated,3.0,
My Girl,rated,3.0,
Mystery Men,rated,3.0,
Mystery Alaska,rated,3.0,
Mystic Pizza,rated,3.0,
Mystic River,rated,3.0,
Naked Gun 33 1/3: The Final Insult,rated,3.0,
National Geographic: Inside the U.S. Secret Service,rated,3.0,
National Geographic: Sea Monsters: A Prehistoric Adventure,rated,3.0,
National Lampoon's European Vacation,rated,3.0,
National Treasure: Book of Secrets,rated,3.0,
Natural Born Killers: Director's Cut,rated,3.0,
Navy Seals,rated,3.0,
Need for Speed,rated,3.0,
Nell,rated,3.0,
Never Back Down,rated,3.0,
Night at the Museum,rated,3.0,
Night at the Museum 2: Battle of the Smithsonian,rated,3.0,
Night of the Living Dead,rated,3.0,
Night Watch,rated,3.0,
No Country for Old Men,rated,3.0,
Nothing But Trouble,rated,3.0,
Now You See Me,rated,3.0,
Now You See Me 2,rated,3.0,
O,rated,3.0,
O Brother Where Art Thou?,rated,3.0,
On the Waterfront,rated,3.0,
One Flew Over the Cuckoo's Nest,rated,3.0,
Ong-Bak: The Thai Warrior,rated,3.0,
Open Season 3,rated,3.0,
Operation Dumbo Drop,rated,3.0,
Operation Petticoat,rated,3.0,
Orange County,rated,3.0,
Orgazmo,rated,3.0,
Orphan,rated,3.0,
Out of Africa,rated,3.0,
Out of Sight,rated,3.0,
Over the Top,rated,3.0,
Pacific Rim Uprising,rated,3.0,
Papillon,rated,3.0,
Passenger 57,rated,3.0,
Paul Mooney: Know Your History,rated,3.0,
Payback,rated,3.0,
Payback: Straight Up: The Director's Cut,rated,3.0,
Penguins of Madagascar,rated,3.0,
Percy Jackson & the Olympians: The Lightning Thief,rated,3.0,
Phantoms,rated,3.0,
Phenomenon,rated,3.0,
Phone Booth,rated,3.0,
Pig,rated,3.0,
Pineapple Express,rated,3.0,
Pitch Black,rated,3.0,
Playing with Fire,rated,3.0,
Police Academy: Special Edition,rated,3.0,
Porky's,rated,3.0,
Poseidon,rated,3.0,
Predator 2,rated,3.0,
Pretty in Pink,rated,3.0,
Pride and Glory,rated,3.0,
Prince of Persia: The Sands of Time,rated,3.0,
Problem Child / Problem Child 2,rated,3.0,
Psycho,rated,3.0,
Public Enemies,rated,3.0,
Quantum of Solace,rated,3.0,
Quarantine,rated,3.0,
Quest for Camelot,rated,3.0,
Rachel Getting Married,rated,3.0,
Rain Man,rated,3.0,
Raising Hope,rated,3.0,
Rambo,rated,3.0,
Rampage,rated,3.0,
Rapture-Palooza,rated,3.0,
Ratatouille,rated,3.0,
Ready to Rumble,rated,3.0,
Reality Bites,rated,3.0,
Rebel Without a Cause,rated,3.0,
Red 2,rated,3.0,
Red Dragon,rated,3.0,
Red Eye,rated,3.0,
Redbelt,rated,3.0,
Reign of Fire,rated,3.0,
Remember the Titans,rated,3.0,
Rent,rated,3.0,
Requiem for a Dream,rated,3.0,
Rescue Dawn,rated,3.0,
Resident Evil,rated,3.0,
Resident Evil: Extinction,rated,3.0,
Richard Pryor: Here and Now,rated,3.0,
Richie Rich,rated,3.0,
Road House,rated,3.0,
Road to Perdition,rated,3.0,
Road Trip,rated,3.0,
Rob Roy,rated,3.0,
Robin Hood,rated,3.0,
RoboCop,rated,3.0,
Rock of Ages,rated,3.0,
Rock Star,rated,3.0,
RocknRolla,rated,3.0,
Rocky II,rated,3.0,
Rocky III,rated,3.0,
Role Models,rated,3.0,
Ronin,rated,3.0,
Rookie of the Year,rated,3.0,
Rudy,rated,3.0,
Run Lola Run,rated,3.0,
Rush Hour,rated,3.0,
Rush Hour 2,rated,3.0,
Russell Brand in New York City,rated,3.0,
Safe Men,rated,3.0,
Saturday Night Live: The Best of Chris Farley,rated,3.0,
Saturday Night Live: The Best of John Belushi,rated,3.0,
Saving Mr. Banks,rated,3.0,
Say Anything...,rated,3.0,
Scarface,rated,3.0,
Scary Movie,rated,3.0,
Scent of a Woman,rated,3.0,
Scotland PA,rated,3.0,
Scream,rated,3.0,
Scream 2,rated,3.0,
Scrooged,rated,3.0,
Scrubs,rated,3.0,
SeaQuest DSV,rated,3.0,
Searching for Bobby Fischer,rated,3.0,
Season of the Witch,rated,3.0,
Secret Window,rated,3.0,
Senna,rated,3.0,
Serpico,rated,3.0,
Shadow of the Vampire,rated,3.0,
Shaft,rated,3.0,
Shakespeare Retold,rated,3.0,
Shang-Chi and the Legend of the Ten Rings,rated,3.0,
Shanghai Knights,rated,3.0,
Shaolin Soccer,rated,3.0,
She's All That,rated,3.0,
Sherlock Holmes: A Game of Shadows,rated,3.0,
Shooter,rated,3.0,
Short Circuit,rated,3.0,
Shrek Forever After,rated,3.0,
Shrek the Third,rated,3.0,
Shutter Island,rated,3.0,
Sicario,rated,3.0,
Silver Linings Playbook,rated,3.0,
Silver Streak,rated,3.0,
Sin City,rated,3.0,
Singles,rated,3.0,
Sister Act,rated,3.0,
Sisters,rated,3.0,
Sixteen Candles,rated,3.0,
